2026-05-08 09:14:24 | [RESULT] PREJUÍZO | Entrada=R$394,142.00 | Saída=R$394,183.00 | PnL=R$-0.1592 (-0.190%) | Duração=0.0min | Motivo=SIGNAL_EXIT | Equity=R$299.84
2026-05-08 09:16:17 | [RESULT] PREJUÍZO | Entrada=R$394,385.00 | Saída=R$394,425.00 | PnL=R$-0.0819 (-0.190%) | Duração=0.2min | Motivo=SIGNAL_EXIT | Equity=R$299.76
2026-05-08 09:17:33 | [RESULT] PREJUÍZO | Entrada=R$394,567.00 | Saída=R$394,564.00 | PnL=R$-0.2406 (-0.201%) | Duração=0.3min | Motivo=SIGNAL_EXIT | Equity=R$299.52
2026-05-08 09:18:18 | [RESULT] PREJUÍZO | Entrada=R$394,509.00 | Saída=R$394,560.00 | PnL=R$-0.1568 (-0.187%) | Duração=0.0min | Motivo=SIGNAL_EXIT | Equity=R$299.36
2026-05-08 09:19:27 | [RESULT] PREJUÍZO | Entrada=R$394,565.00 | Saída=R$394,574.00 | PnL=R$-0.2366 (-0.198%) | Duração=0.1min | Motivo=SIGNAL_EXIT | Equity=R$299.12
2026-05-08 09:49:31 | [RESULT] PREJUÍZO | Entrada=R$392,815.00 | Saída=R$392,790.00 | PnL=R$-0.1727 (-0.206%) | Duração=0.1min | Motivo=SIGNAL_EXIT | Equity=R$298.95
2026-05-08 10:19:37 | [RESULT] PREJUÍZO | Entrada=R$390,818.00 | Saída=R$390,857.00 | PnL=R$-0.1590 (-0.190%) | Duração=0.1min | Motivo=SIGNAL_EXIT | Equity=R$298.79
2026-05-08 10:49:37 | [RESULT] PREJUÍZO | Entrada=R$389,986.00 | Saída=R$390,103.00 | PnL=R$-0.2031 (-0.170%) | Duração=0.0min | Motivo=SIGNAL_EXIT | Equity=R$298.59
2026-05-08 11:19:47 | [RESULT] PREJUÍZO | Entrada=R$393,384.00 | Saída=R$393,456.00 | PnL=R$-0.1519 (-0.182%) | Duração=0.1min | Motivo=SIGNAL_EXIT | Equity=R$298.44
2026-05-08 11:50:17 | [RESULT] PREJUÍZO | Entrada=R$392,901.00 | Saída=R$392,923.00 | PnL=R$-0.1624 (-0.194%) | Duração=0.0min | Motivo=SIGNAL_EXIT | Equity=R$298.28
2026-05-08 12:20:22 | [RESULT] PREJUÍZO | Entrada=R$391,369.00 | Saída=R$391,289.00 | PnL=R$-0.0946 (-0.220%) | Duração=0.1min | Motivo=SIGNAL_EXIT | Equity=R$298.18
2026-05-08 12:50:35 | [RESULT] PREJUÍZO | Entrada=R$392,345.00 | Saída=R$392,345.00 | PnL=R$-0.1669 (-0.200%) | Duração=0.0min | Motivo=SIGNAL_EXIT | Equity=R$298.01
2026-05-08 13:20:44 | [RESULT] PREJUÍZO | Entrada=R$392,002.00 | Saída=R$391,969.00 | PnL=R$-0.1738 (-0.208%) | Duração=0.0min | Motivo=SIGNAL_EXIT | Equity=R$297.84
