2026-02-19 07:38:52 | SIMULATION | SESSION_START | 0.00000000 | 0.00000000 | 300.00 | MARKET | 300.00
2026-02-19 07:39:03 | SIMULATION | BUY | 350467.00000000 | 0.00085514 | 300.00 | MARKET | 299.70
2026-02-19 07:40:04 | SIMULATION | SELL | 350533.00000000 | 0.00085514 | 299.46 | MARKET | 299.46
2026-02-19 07:40:07 | SIMULATION | BUY | 350596.00000000 | 0.00085328 | 299.46 | MARKET | 299.16
2026-02-19 07:42:14 | SIMULATION | SELL | 350883.00000000 | 0.00085328 | 299.10 | MARKET | 299.10
2026-02-19 07:43:02 | SIMULATION | BUY | 350955.00000000 | 0.00085140 | 299.10 | MARKET | 298.80
2026-02-19 07:43:46 | SIMULATION | SELL | 350864.00000000 | 0.00085140 | 298.43 | MARKET | 298.43
2026-02-19 07:44:36 | SIMULATION | BUY | 350910.00000000 | 0.00084959 | 298.43 | MARKET | 298.13
2026-02-19 07:45:25 | SIMULATION | SELL | 350902.00000000 | 0.00084959 | 297.82 | MARKET | 297.82
2026-02-19 07:45:27 | SIMULATION | BUY | 350933.00000000 | 0.00084781 | 297.82 | MARKET | 297.53
2026-02-19 07:47:07 | SIMULATION | SELL | 350915.00000000 | 0.00084781 | 297.21 | MARKET | 297.21
2026-02-19 07:48:15 | SIMULATION | BUY | 350826.00000000 | 0.00084633 | 297.21 | MARKET | 296.92
2026-02-19 07:48:30 | SIMULATION | SELL | 350743.00000000 | 0.00084633 | 296.55 | MARKET | 296.55
2026-02-19 07:49:31 | SIMULATION | BUY | 350745.00000000 | 0.00084464 | 296.55 | MARKET | 296.25
2026-02-19 07:50:11 | SIMULATION | SELL | 350746.00000000 | 0.00084464 | 295.96 | MARKET | 295.96
2026-02-19 07:50:27 | SIMULATION | BUY | 350832.00000000 | 0.00084274 | 295.96 | MARKET | 295.66
2026-02-19 07:50:59 | SIMULATION | SELL | 350802.00000000 | 0.00084274 | 295.34 | MARKET | 295.34
2026-02-19 07:51:22 | SIMULATION | BUY | 350819.00000000 | 0.00084102 | 295.34 | MARKET | 295.04
2026-02-19 07:51:35 | SIMULATION | SELL | 350684.00000000 | 0.00084102 | 294.64 | MARKET | 294.64
2026-02-19 07:54:09 | SIMULATION | BUY | 350186.00000000 | 0.00084053 | 294.64 | MARKET | 294.34
2026-02-19 07:55:33 | SIMULATION | SELL | 350218.00000000 | 0.00084053 | 294.07 | MARKET | 294.07
2026-02-19 07:56:37 | SIMULATION | BUY | 350163.00000000 | 0.00083898 | 294.07 | MARKET | 293.78
2026-02-19 07:56:51 | SIMULATION | SELL | 350082.00000000 | 0.00083898 | 293.42 | MARKET | 293.42
2026-02-19 07:57:56 | SIMULATION | BUY | 350118.00000000 | 0.00083722 | 293.42 | MARKET | 293.13
2026-02-19 07:58:39 | SIMULATION | SELL | 350080.00000000 | 0.00083722 | 292.80 | MARKET | 292.80
2026-02-19 07:59:06 | SIMULATION | BUY | 350115.00000000 | 0.00083546 | 292.80 | MARKET | 292.51
2026-02-19 07:59:36 | SIMULATION | SELL | 350082.00000000 | 0.00083546 | 292.19 | MARKET | 292.19
2026-02-19 07:59:53 | SIMULATION | BUY | 350179.00000000 | 0.00083356 | 292.19 | MARKET | 291.90
2026-02-19 08:01:48 | SIMULATION | SELL | 350392.00000000 | 0.00083356 | 291.78 | MARKET | 291.78
2026-02-19 08:02:10 | SIMULATION | BUY | 350459.00000000 | 0.00083173 | 291.78 | MARKET | 291.49
2026-02-19 08:02:42 | SIMULATION | SELL | 350367.00000000 | 0.00083173 | 291.12 | MARKET | 291.12
2026-02-19 08:04:13 | SIMULATION | BUY | 350328.00000000 | 0.00083016 | 291.12 | MARKET | 290.83
2026-02-19 08:05:45 | SIMULATION | SELL | 350463.00000000 | 0.00083016 | 290.65 | MARKET | 290.65
2026-02-19 08:06:40 | SIMULATION | BUY | 350570.00000000 | 0.00082825 | 290.65 | MARKET | 290.36
2026-02-19 08:07:29 | SIMULATION | SELL | 350455.00000000 | 0.00082825 | 289.97 | MARKET | 289.97
2026-02-19 08:08:32 | SIMULATION | BUY | 350439.00000000 | 0.00082663 | 289.97 | MARKET | 289.68
2026-02-19 08:13:01 | SIMULATION | SESSION_END | 0.00000000 | 0.00000000 | -10.03 | MARKET | 289.97
